month,day,hour,value,location,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other,value_other,location_other
1,1,17,0.8907,NL11,0.9074,NL12,0.7682,NL13,0.72,NL21,0.5967,NL22,0.8357,NL23,0.6728,NL31,0.9393,NL32,0.8254,NL33,0.7326,NL34,0.5648,NL41,0.4037,NL42
1,1,18,0.529,NL11,0.4563,NL12,0.4514,NL13,0.489,NL21,0.5578,NL22,0.5868,NL23,0.5976,NL31,0.6454,NL32,0.7159,NL33,0.7767,NL34,0.6913,NL41,0.6377,NL42
1,1,19,0.0108,NL11,0.0005,NL12,0.1009,NL13,0.1254,NL21,0.2037,NL22,0.108,NL23,0.1556,NL31,0.0033,NL32,0.0614,NL33,0.1391,NL34,0.1752,NL41,0.2165,NL42
1,1,20,0.5432,NL11,0.4464,NL12,0.3768,NL13,0.363,NL21,0.3928,NL22,0.4185,NL23,0.3741,NL31,0.532,NL32,0.5532,NL33,0.5512,NL34,0.4462,NL41,0.3486,NL42
1,1,21,0.7694,NL11,0.6257,NL12,0.4643,NL13,0.3806,NL21,0.281,NL22,0.4222,NL23,0.3068,NL31,0.653,NL32,0.5475,NL33,0.5204,NL34,0.3826,NL41,0.2475,NL42
1,1,22,0.0632,NL11,0.0234,NL12,0.0267,NL13,0.0229,NL21,0.0597,NL22,0.0226,NL23,0.0587,NL31,0.0111,NL32,0.0728,NL33,0.1798,NL34,0.1421,NL41,0.0229,NL42
1,1,23,0.9673,NL11,0.9369,NL12,0.9189,NL13,0.8848,NL21,0.8816,NL22,0.9109,NL23,0.8642,NL31,0.9565,NL32,0.939,NL33,0.9225,NL34,0.8797,NL41,0.8375,NL42
1,2,0,0.8066,NL11,0.8056,NL12,0.7174,NL13,0.6988,NL21,0.7177,NL22,0.7573,NL23,0.767,NL31,0.8691,NL32,0.8751,NL33,0.8687,NL34,0.8125,NL41,0.5614,NL42
1,2,1,0.838,NL11,0.7962,NL12,0.7173,NL13,0.6963,NL21,0.7163,NL22,0.7572,NL23,0.7561,NL31,0.8567,NL32,0.8514,NL33,0.8313,NL34,0.7894,NL41,0.5568,NL42
1,2,2,0.266,NL11,0.3171,NL12,0.1725,NL13,0.2062,NL21,0.2825,NL22,0.3258,NL23,0.33,NL31,0.5835,NL32,0.5217,NL33,0.4473,NL34,0.3454,NL41,0.2806,NL42
1,2,3,0.7916,NL11,0.7369,NL12,0.6854,NL13,0.6417,NL21,0.6374,NL22,0.6937,NL23,0.6285,NL31,0.7938,NL32,0.7719,NL33,0.7734,NL34,0.6843,NL41,0.5899,NL42
1,2,4,0.1858,NL11,0.1594,NL12,0.1102,NL13,0.1306,NL21,0.0749,NL22,0.1805,NL23,0.0678,NL31,0.1956,NL32,0.0484,NL33,0.0081,NL34,0.0424,NL41,0.0379,NL42
1,2,5,0.4151,NL11,0.4246,NL12,0.3274,NL13,0.3278,NL21,0.3091,NL22,0.3966,NL23,0.3267,NL31,0.6189,NL32,0.5361,NL33,0.4728,NL34,0.359,NL41,0.271,NL42
1,2,6,0.0524,NL11,0.0445,NL12,0.1631,NL13,0.1616,NL21,0.1603,NL22,0.1783,NL23,0.1459,NL31,0.1487,NL32,0.1571,NL33,0.1563,NL34,0.123,NL41,0.1729,NL42
1,2,7,0.5119,NL11,0.5019,NL12,0.347,NL13,0.3369,NL21,0.3401,NL22,0.4339,NL23,0.3637,NL31,0.6643,NL32,0.5936,NL33,0.5091,NL34,0.3988,NL41,0.3043,NL42
1,2,8,0.1745,NL11,0.1645,NL12,0.0577,NL13,0.0875,NL21,0.1218,NL22,0.1641,NL23,0.1417,NL31,0.3581,NL32,0.266,NL33,0.2547,NL34,0.1634,NL41,0.1172,NL42
1,2,9,0.52,NL11,0.5393,NL12,0.3477,NL13,0.4175,NL21,0.4216,NL22,0.5502,NL23,0.4592,NL31,0.6988,NL32,0.6613,NL33,0.5428,NL34,0.5011,NL41,0.3518,NL42
1,2,10,0.9146,NL11,0.8039,NL12,0.6994,NL13,0.5996,NL21,0.4642,NL22,0.6382,NL23,0.4651,NL31,0.7976,NL32,0.6475,NL33,0.5358,NL34,0.4703,NL41,0.314,NL42
1,2,11,0.0884,NL11,0.1079,NL12,0.0733,NL13,0.0773,NL21,0.0956,NL22,0.107,NL23,0.1038,NL31,0.2172,NL32,0.2339,NL33,0.2713,NL34,0.1718,NL41,0.1498,NL42
1,2,12,0.3507,NL11,0.3056,NL12,0.2072,NL13,0.1828,NL21,0.1701,NL22,0.2263,NL23,0.172,NL31,0.4816,NL32,0.3853,NL33,0.3842,NL34,0.2178,NL41,0.1488,NL42
1,2,13,0.2961,NL11,0.1608,NL12,0.1565,NL13,0.1387,NL21,0.1671,NL22,0.1709,NL23,0.1596,NL31,0.2211,NL32,0.2152,NL33,0.2278,NL34,0.1891,NL41,0.1473,NL42
1,2,14,0.9075,NL11,0.8316,NL12,0.725,NL13,0.6639,NL21,0.5244,NL22,0.7865,NL23,0.6508,NL31,0.8762,NL32,0.806,NL33,0.6788,NL34,0.5595,NL41,0.4644,NL42
1,2,15,0.1962,NL11,0.1482,NL12,0.1064,NL13,0.0983,NL21,0.0853,NL22,0.1342,NL23,0.0951,NL31,0.2013,NL32,0.1828,NL33,0.189,NL34,0.1134,NL41,0.0843,NL42
1,2,16,0.8804,NL11,0.8032,NL12,0.6589,NL13,0.6134,NL21,0.4974,NL22,0.7351,NL23,0.6083,NL31,0.85,NL32,0.7747,NL33,0.677,NL34,0.5527,NL41,0.4146,NL42
1,2,17,0.6875,NL11,0.6129,NL12,0.4052,NL13,0.3996,NL21,0.3324,NL22,0.5145,NL23,0.3778,NL31,0.7106,NL32,0.5867,NL33,0.5095,NL34,0.3726,NL41,0.1627,NL42
1,2,18,0.3616,NL11,0.3828,NL12,0.3083,NL13,0.3128,NL21,0.3077,NL22,0.3869,NL23,0.2913,NL31,0.474,NL32,0.5131,NL33,0.5548,NL34,0.4243,NL41,0.38,NL42
1,2,19,0.1798,NL11,0.3408,NL12,0.0451,NL13,0.0095,NL21,0.1363,NL22,0.041,NL23,0.1088,NL31,0.1736,NL32,0.1537,NL33,0.3107,NL34,0.2372,NL41,0.2324,NL42
1,2,20,0.828,NL11,0.6603,NL12,0.4585,NL13,0.3533,NL21,0.2945,NL22,0.3981,NL23,0.3258,NL31,0.6236,NL32,0.5285,NL33,0.6053,NL34,0.3481,NL41,0.2664,NL42
1,2,21,0.343,NL11,0.2267,NL12,0.2147,NL13,0.1883,NL21,0.1586,NL22,0.2149,NL23,0.1546,NL31,0.2153,NL32,0.1792,NL33,0.1679,NL34,0.156,NL41,0.093,NL42
1,2,22,0.3669,NL11,0.3293,NL12,0.2447,NL13,0.2154,NL21,0.2358,NL22,0.266,NL23,0.2519,NL31,0.4802,NL32,0.4548,NL33,0.4848,NL34,0.3217,NL41,0.2489,NL42
1,2,23,0.0154,NL11,0.0494,NL12,0.0083,NL13,0.034,NL21,0.0462,NL22,0.0722,NL23,0.0654,NL31,0.1155,NL32,0.1139,NL33,0.1404,NL34,0.0769,NL41,0.0488,NL42
1,3,0,0.1209,NL11,0.113,NL12,0.0736,NL13,0.0584,NL21,0.0279,NL22,0.0654,NL23,0.0174,NL31,0.0739,NL32,0.0086,NL33,0.0005,NL34,0.0023,NL41,0.0025,NL42
1,3,1,0.1584,NL11,0.1238,NL12,0.1047,NL13,0.2068,NL21,0.4184,NL22,0.1683,NL23,0.2213,NL31,0.0791,NL32,0.4237,NL33,0.5914,NL34,0.5042,NL41,0.6929,NL42
1,3,2,0.5485,NL11,0.3179,NL12,0.2808,NL13,0.2456,NL21,0.2091,NL22,0.2799,NL23,0.1869,NL31,0.3007,NL32,0.2201,NL33,0.2116,NL34,0.1922,NL41,0.1459,NL42
1,3,3,0.2656,NL11,0.1928,NL12,0.1145,NL13,0.091,NL21,0.0757,NL22,0.1169,NL23,0.0808,NL31,0.2172,NL32,0.1603,NL33,0.161,NL34,0.0953,NL41,0.0442,NL42
1,3,4,0.2393,NL11,0.1728,NL12,0.1097,NL13,0.0888,NL21,0.0763,NL22,0.1143,NL23,0.0732,NL31,0.1939,NL32,0.1421,NL33,0.1385,NL34,0.0867,NL41,0.0405,NL42
1,3,5,0.9412,NL11,0.8799,NL12,0.8466,NL13,0.7965,NL21,0.7948,NL22,0.8371,NL23,0.7786,NL31,0.8981,NL32,0.8771,NL33,0.8587,NL34,0.8036,NL41,0.7438,NL42
1,3,6,0.3367,NL11,0.4125,NL12,0.0317,NL13,0.0222,NL21,0.1037,NL22,0.0866,NL23,0.0391,NL31,0.5596,NL32,0.0555,NL33,0.0692,NL34,0.1308,NL41,0.3222,NL42
1,3,7,0.1827,NL11,0.1282,NL12,0.1215,NL13,0.1165,NL21,0.1383,NL22,0.1485,NL23,0.1311,NL31,0.1911,NL32,0.1886,NL33,0.2002,NL34,0.1577,NL41,0.1416,NL42
1,3,8,0.1828,NL11,0.1212,NL12,0.1239,NL13,0.0865,NL21,0.1187,NL22,0.0674,NL23,0.0492,NL31,0.0996,NL32,0.0747,NL33,0.101,NL34,0.0854,NL41,0.1072,NL42
1,3,9,0.2566,NL11,0.2075,NL12,0.0772,NL13,0.0513,NL21,0.0266,NL22,0.0851,NL23,0.0132,NL31,0.2345,NL32,0.0658,NL33,0.0666,NL34,0.0259,NL41,0.04,NL42
1,3,10,0.8603,NL11,0.7671,NL12,0.5908,NL13,0.5371,NL21,0.4314,NL22,0.6355,NL23,0.4762,NL31,0.8295,NL32,0.7116,NL33,0.6299,NL34,0.5092,NL41,0.3456,NL42
1,3,11,0.2292,NL11,0.2496,NL12,0.1236,NL13,0.1406,NL21,0.1358,NL22,0.2224,NL23,0.2125,NL31,0.3992,NL32,0.4019,NL33,0.437,NL34,0.2065,NL41,0.1218,NL42
1,3,12,0.4101,NL11,0.3607,NL12,0.2511,NL13,0.247,NL21,0.2666,NL22,0.3357,NL23,0.2977,NL31,0.472,NL32,0.4173,NL33,0.3786,NL34,0.3286,NL41,0.2905,NL42
1,3,13,0.7556,NL11,0.6672,NL12,0.571,NL13,0.577,NL21,0.6267,NL22,0.6783,NL23,0.6348,NL31,0.7553,NL32,0.7638,NL33,0.8263,NL34,0.7076,NL41,0.5329,NL42
1,3,14,0.0945,NL11,0.0556,NL12,0.0459,NL13,0.0479,NL21,0.0394,NL22,0.0356,NL23,0.015,NL31,0.0672,NL32,0.0284,NL33,0.0337,NL34,0.0209,NL41,0.0186,NL42
1,3,15,0.3963,NL11,0.2454,NL12,0.1751,NL13,0.1524,NL21,0.1613,NL22,0.1896,NL23,0.1555,NL31,0.2592,NL32,0.2263,NL33,0.2085,NL34,0.1824,NL41,0.1374,NL42
1,3,16,0.7148,NL11,0.477,NL12,0.2897,NL13,0.2817,NL21,0.3271,NL22,0.4121,NL23,0.4293,NL31,0.6637,NL32,0.6993,NL33,0.7339,NL34,0.5659,NL41,0.2989,NL42
1,3,17,0.3537,NL11,0.3072,NL12,0.2974,NL13,0.2936,NL21,0.3104,NL22,0.3459,NL23,0.3052,NL31,0.4502,NL32,0.45,NL33,0.455,NL34,0.3509,NL41,0.2575,NL42
1,3,18,0.8902,NL11,0.8746,NL12,0.7172,NL13,0.6954,NL21,0.7031,NL22,0.7785,NL23,0.7096,NL31,0.9195,NL32,0.8776,NL33,0.851,NL34,0.757,NL41,0.6772,NL42
1,3,19,0.0554,NL11,0.1516,NL12,0.0548,NL13,0.0995,NL21,0.1227,NL22,0.1909,NL23,0.1871,NL31,0.3385,NL32,0.3373,NL33,0.3529,NL34,0.2143,NL41,0.1061,NL42
1,3,20,0.6909,NL11,0.6362,NL12,0.4059,NL13,0.5425,NL21,0.6227,NL22,0.7415,NL23,0.7009,NL31,0.8931,NL32,0.8846,NL33,0.8723,NL34,0.7436,NL41,0.472,NL42
1,3,21,0.6114,NL11,0.7753,NL12,0.5246,NL13,0.614,NL21,0.632,NL22,0.7654,NL23,0.7443,NL31,0.9084,NL32,0.9144,NL33,0.8908,NL34,0.7941,NL41,0.5137,NL42
1,3,22,0.1375,NL11,0.2384,NL12,0.2019,NL13,0.2729,NL21,0.3746,NL22,0.3663,NL23,0.3348,NL31,0.3715,NL32,0.3542,NL33,0.3085,NL34,0.3134,NL41,0.4292,NL42
1,3,23,0.0041,NL11,0.0429,NL12,0.0151,NL13,0.0474,NL21,0.0592,NL22,0.0817,NL23,0.0936,NL31,0.1367,NL32,0.1722,NL33,0.1989,NL34,0.1439,NL41,0.083,NL42
1,4,0,0.0659,NL11,0.3559,NL12,0.1199,NL13,0.1818,NL21,0.1953,NL22,0.3192,NL23,0.292,NL31,0.5857,NL32,0.5097,NL33,0.4554,NL34,0.2914,NL41,0.0862,NL42
1,4,1,0.3952,NL11,0.3593,NL12,0.1896,NL13,0.2097,NL21,0.1825,NL22,0.3146,NL23,0.2589,NL31,0.3577,NL32,0.3781,NL33,0.4433,NL34,0.2937,NL41,0.145,NL42
1,4,2,0.2261,NL11,0.0569,NL12,0.1225,NL13,0.1031,NL21,0.0487,NL22,0.1301,NL23,0.087,NL31,0.0374,NL32,0.0826,NL33,0.0572,NL34,0.0627,NL41,0.0031,NL42
1,4,3,0.8645,NL11,0.7636,NL12,0.6111,NL13,0.5266,NL21,0.4728,NL22,0.5878,NL23,0.4799,NL31,0.7238,NL32,0.5744,NL33,0.5046,NL34,0.438,NL41,0.4207,NL42
1,4,4,0.8203,NL11,0.7676,NL12,0.7133,NL13,0.6777,NL21,0.7038,NL22,0.7468,NL23,0.7094,NL31,0.8685,NL32,0.8683,NL33,0.8627,NL34,0.7758,NL41,0.6615,NL42
1,4,5,0.8324,NL11,0.6875,NL12,0.7491,NL13,0.7111,NL21,0.7506,NL22,0.7229,NL23,0.7292,NL31,0.7342,NL32,0.8184,NL33,0.8298,NL34,0.7629,NL41,0.7321,NL42
1,4,6,0.6462,NL11,0.4899,NL12,0.4426,NL13,0.4085,NL21,0.4437,NL22,0.4448,NL23,0.4121,NL31,0.5414,NL32,0.6452,NL33,0.7563,NL34,0.6261,NL41,0.5489,NL42
1,4,7,0.3169,NL11,0.2179,NL12,0.1596,NL13,0.1383,NL21,0.1441,NL22,0.172,NL23,0.135,NL31,0.2685,NL32,0.2061,NL33,0.1778,NL34,0.1261,NL41,0.1493,NL42
1,4,8,0.474,NL11,0.4191,NL12,0.2366,NL13,0.221,NL21,0.2075,NL22,0.3374,NL23,0.258,NL31,0.5382,NL32,0.4745,NL33,0.4899,NL34,0.2999,NL41,0.1575,NL42
1,4,9,0.5693,NL11,0.3148,NL12,0.1272,NL13,0.0683,NL21,0.0474,NL22,0.0953,NL23,0.0105,NL31,0.3241,NL32,0.0946,NL33,0.0258,NL34,0.0132,NL41,0.0392,NL42
1,4,10,0.9127,NL11,0.8544,NL12,0.7631,NL13,0.7077,NL21,0.6649,NL22,0.7897,NL23,0.6988,NL31,0.8926,NL32,0.8285,NL33,0.7287,NL34,0.6657,NL41,0.5536,NL42
1,4,11,0.5665,NL11,0.3966,NL12,0.3176,NL13,0.2614,NL21,0.2056,NL22,0.2915,NL23,0.18,NL31,0.3436,NL32,0.2267,NL33,0.2001,NL34,0.1757,NL41,0.1671,NL42
1,4,12,0.5956,NL11,0.4215,NL12,0.256,NL13,0.2119,NL21,0.1769,NL22,0.2731,NL23,0.184,NL31,0.4162,NL32,0.2402,NL33,0.1886,NL34,0.1663,NL41,0.3741,NL42
1,4,13,0.6539,NL11,0.5658,NL12,0.4896,NL13,0.4841,NL21,0.5355,NL22,0.5905,NL23,0.5744,NL31,0.735,NL32,0.7527,NL33,0.7828,NL34,0.6676,NL41,0.5178,NL42
1,4,14,0.7062,NL11,0.5622,NL12,0.3719,NL13,0.3272,NL21,0.3149,NL22,0.4103,NL23,0.3414,NL31,0.6403,NL32,0.588,NL33,0.588,NL34,0.4259,NL41,0.2667,NL42
1,4,15,0.2096,NL11,0.1344,NL12,0.1049,NL13,0.0867,NL21,0.0593,NL22,0.1057,NL23,0.0724,NL31,0.1626,NL32,0.1342,NL33,0.1609,NL34,0.1,NL41,0.0384,NL42
1,4,16,0.6501,NL11,0.5643,NL12,0.4395,NL13,0.4513,NL21,0.429,NL22,0.5398,NL23,0.4492,NL31,0.6306,NL32,0.5672,NL33,0.5129,NL34,0.4217,NL41,0.3088,NL42
1,4,17,0.2575,NL11,0.2762,NL12,0.2342,NL13,0.2395,NL21,0.2457,NL22,0.2779,NL23,0.2416,NL31,0.3189,NL32,0.2705,NL33,0.2122,NL34,0.2203,NL41,0.1577,NL42
1,4,18,0.6435,NL11,0.5351,NL12,0.4499,NL13,0.463,NL21,0.5503,NL22,0.5893,NL23,0.5558,NL31,0.6168,NL32,0.6487,NL33,0.626,NL34,0.6131,NL41,0.5704,NL42
1,4,19,0.5638,NL11,0.3351,NL12,0.2543,NL13,0.1883,NL21,0.1656,NL22,0.2168,NL23,0.1601,NL31,0.3619,NL32,0.2773,NL33,0.2737,NL34,0.2025,NL41,0.1466,NL42
1,4,20,0.8046,NL11,0.6933,NL12,0.7369,NL13,0.7324,NL21,0.7979,NL22,0.8124,NL23,0.8159,NL31,0.8723,NL32,0.9113,NL33,0.9016,NL34,0.8535,NL41,0.7742,NL42
1,4,21,0.286,NL11,0.2549,NL12,0.1285,NL13,0.1553,NL21,0.2083,NL22,0.2426,NL23,0.2132,NL31,0.3821,NL32,0.3073,NL33,0.2657,NL34,0.1893,NL41,0.1101,NL42
1,4,22,0.5074,NL11,0.3759,NL12,0.2862,NL13,0.2524,NL21,0.195,NL22,0.2975,NL23,0.1717,NL31,0.3306,NL32,0.2028,NL33,0.1522,NL34,0.1401,NL41,0.1113,NL42
1,4,23,0.1562,NL11,0.1449,NL12,0.1725,NL13,0.1727,NL21,0.1768,NL22,0.1803,NL23,0.1389,NL31,0.2333,NL32,0.2114,NL33,0.2168,NL34,0.1694,NL41,0.1908,NL42
1,5,0,0.9373,NL11,0.9142,NL12,0.8297,NL13,0.7629,NL21,0.7008,NL22,0.8183,NL23,0.6943,NL31,0.9098,NL32,0.7722,NL33,0.6826,NL34,0.65,NL41,0.6287,NL42
1,5,1,0.9524,NL11,0.9094,NL12,0.8353,NL13,0.7493,NL21,0.6518,NL22,0.784,NL23,0.6115,NL31,0.8677,NL32,0.6651,NL33,0.5819,NL34,0.5524,NL41,0.5854,NL42
1,5,2,0.9623,NL11,0.9577,NL12,0.9727,NL13,0.9522,NL21,0.9359,NL22,0.956,NL23,0.9341,NL31,0.9599,NL32,0.9581,NL33,0.9307,NL34,0.9129,NL41,0.8487,NL42
1,5,3,0.3931,NL11,0.307,NL12,0.1842,NL13,0.1536,NL21,0.1316,NL22,0.22,NL23,0.1406,NL31,0.3485,NL32,0.2099,NL33,0.1729,NL34,0.1387,NL41,0.1153,NL42
1,5,4,0.4207,NL11,0.358,NL12,0.1583,NL13,0.1561,NL21,0.1448,NL22,0.2251,NL23,0.1425,NL31,0.4575,NL32,0.2933,NL33,0.2531,NL34,0.136,NL41,0.1078,NL42
1,5,5,0.3189,NL11,0.3215,NL12,0.1984,NL13,0.2197,NL21,0.2106,NL22,0.2693,NL23,0.1826,NL31,0.452,NL32,0.3833,NL33,0.4586,NL34,0.3117,NL41,0.2534,NL42
1,5,6,0.3446,NL11,0.5873,NL12,0.5529,NL13,0.5499,NL21,0.5336,NL22,0.6377,NL23,0.5722,NL31,0.7857,NL32,0.6645,NL33,0.5321,NL34,0.5242,NL41,0.4253,NL42
1,5,7,0.4807,NL11,0.3981,NL12,0.2543,NL13,0.2287,NL21,0.2507,NL22,0.3006,NL23,0.2652,NL31,0.5128,NL32,0.5799,NL33,0.7261,NL34,0.4525,NL41,0.2847,NL42
1,5,8,0.4371,NL11,0.2952,NL12,0.1838,NL13,0.1578,NL21,0.1192,NL22,0.228,NL23,0.1428,NL31,0.3044,NL32,0.1977,NL33,0.1445,NL34,0.1309,NL41,0.14,NL42
1,5,9,0.3783,NL11,0.2682,NL12,0.1705,NL13,0.1764,NL21,0.2062,NL22,0.2409,NL23,0.2228,NL31,0.4279,NL32,0.3845,NL33,0.3457,NL34,0.271,NL41,0.2115,NL42
1,5,10,0.2292,NL11,0.2437,NL12,0.131,NL13,0.1212,NL21,0.1265,NL22,0.1681,NL23,0.1377,NL31,0.3126,NL32,0.2299,NL33,0.2171,NL34,0.1614,NL41,0.1422,NL42
1,5,11,0.4693,NL11,0.5918,NL12,0.4357,NL13,0.5241,NL21,0.6578,NL22,0.6648,NL23,0.7029,NL31,0.8058,NL32,0.8592,NL33,0.8784,NL34,0.8483,NL41,0.8305,NL42
1,5,12,0.5465,NL11,0.4516,NL12,0.2797,NL13,0.2511,NL21,0.2356,NL22,0.3321,NL23,0.2413,NL31,0.5225,NL32,0.3822,NL33,0.3597,NL34,0.2459,NL41,0.1719,NL42
1,5,13,0.1715,NL11,0.0591,NL12,0.1224,NL13,0.0809,NL21,0.1174,NL22,0.0359,NL23,0.0433,NL31,0.0352,NL32,0.0043,NL33,0.0577,NL34,0.076,NL41,0.0566,NL42
1,5,14,0.2827,NL11,0.0967,NL12,0.1493,NL13,0.3622,NL21,0.3432,NL22,0.4296,NL23,0.2917,NL31,0.5393,NL32,0.4781,NL33,0.5158,NL34,0.3877,NL41,0.2748,NL42
1,5,15,0.139,NL11,0.1621,NL12,0.1641,NL13,0.1819,NL21,0.2178,NL22,0.2303,NL23,0.2389,NL31,0.2843,NL32,0.4146,NL33,0.497,NL34,0.4129,NL41,0.2944,NL42
1,5,16,0.8957,NL11,0.8275,NL12,0.8163,NL13,0.7685,NL21,0.7847,NL22,0.8057,NL23,0.7632,NL31,0.8808,NL32,0.8674,NL33,0.864,NL34,0.8149,NL41,0.7729,NL42
1,5,17,0.5527,NL11,0.7278,NL12,0.7293,NL13,0.7497,NL21,0.747,NL22,0.8004,NL23,0.7328,NL31,0.8889,NL32,0.8387,NL33,0.8116,NL34,0.7482,NL41,0.6545,NL42
1,5,18,0.8822,NL11,0.8663,NL12,0.7805,NL13,0.7551,NL21,0.7788,NL22,0.8305,NL23,0.7968,NL31,0.9195,NL32,0.9072,NL33,0.9045,NL34,0.8412,NL41,0.7034,NL42
1,5,19,0.4297,NL11,0.2718,NL12,0.1799,NL13,0.1386,NL21,0.0943,NL22,0.1487,NL23,0.0461,NL31,0.1498,NL32,0.002,NL33,0.0005,NL34,0.0119,NL41,0.0435,NL42
1,5,20,0.8217,NL11,0.7412,NL12,0.6594,NL13,0.5614,NL21,0.5428,NL22,0.5896,NL23,0.5334,NL31,0.733,NL32,0.5882,NL33,0.4656,NL34,0.4518,NL41,0.4419,NL42
1,5,21,0.1719,NL11,0.2195,NL12,0.1392,NL13,0.1473,NL21,0.1811,NL22,0.2116,NL23,0.1785,NL31,0.3572,NL32,0.3262,NL33,0.3217,NL34,0.2167,NL41,0.1259,NL42
1,5,22,0.8621,NL11,0.7858,NL12,0.7727,NL13,0.7656,NL21,0.7509,NL22,0.8534,NL23,0.808,NL31,0.9123,NL32,0.9156,NL33,0.8965,NL34,0.8258,NL41,0.6347,NL42
1,5,23,0.6983,NL11,0.6902,NL12,0.4747,NL13,0.4912,NL21,0.5983,NL22,0.6572,NL23,0.7099,NL31,0.8465,NL32,0.8794,NL33,0.8934,NL34,0.791,NL41,0.496,NL42
1,6,0,0.3234,NL11,0.2394,NL12,0.13,NL13,0.0987,NL21,0.1025,NL22,0.1103,NL23,0.0798,NL31,0.1756,NL32,0.1621,NL33,0.2354,NL34,0.1792,NL41,0.2401,NL42
1,6,1,0.6968,NL11,0.4926,NL12,0.2339,NL13,0.1646,NL21,0.1343,NL22,0.2394,NL23,0.1835,NL31,0.436,NL32,0.2486,NL33,0.0964,NL34,0.1158,NL41,0.0649,NL42
